"title","link","description","pubDate","releaseDate","guid","episodeType","episode","itunes_title","author","explicit","image","enclosure","duration","subtitle","summary","clean"
"643: Damned If You Do…","https://www.thisamericanlife.org/643/damned-if-you-do","","2018-04-06T14:56:36-04:00","2018-04-13T00:00:00-00:00","","Full","643","Damned If You Do…","This American Life","yes","","","","People having to make a choice, when no good options exist.","",""
"642: The Impossible Dream","https://www.thisamericanlife.org/642/the-impossible-dream","","2018-03-23T19:37:37-04:00","2018-04-06T00:00:00-00:00","","Full","642","The Impossible Dream","This American Life","yes","","","","Before he leaves the Senate for good, Republican Jeff Flake is trying to get a bill passed.","",""
"641: The Walls","https://www.thisamericanlife.org/641/the-walls","","2018-03-08T13:01:59-05:00","2018-03-16T00:00:00-00:00","","Full","641","The Walls","This American Life","yes","","","","Stories from border walls all over the world, and of the strange ecosystems that arise around them.","",""
"640: Five Women","https://www.thisamericanlife.org/640/five-women","","2018-02-23T19:19:34-05:00","2018-03-02T00:00:00-00:00","","Full","640","Five Women","This American Life","yes","","","","A different kind of #MeToo story, about several women who worked for the same man.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/640.mp3"
"639: In Dog We Trust","https://www.thisamericanlife.org/639/in-dog-we-trust","","2018-02-22T10:58:16-05:00","2018-02-23T00:00:00-00:00","","Full","639","In Dog We Trust","This American Life","yes","","","","Exactly how much are the animals that live in our homes caught up in our everyday family dynamics?","",""
"638: Rom-Com","https://www.thisamericanlife.org/638/rom-com","","2018-02-02T14:42:10-05:00","2018-02-09T00:00:00-00:00","","Full","638","Rom-Com","This American Life","yes","","","","Stories about surviving the mishaps of love.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/638.mp3"
"637: Words You Can't Say","https://www.thisamericanlife.org/637/words-you-cant-say","","2018-01-26T15:47:19-05:00","2018-02-02T00:00:00-00:00","","Full","637","Words You Can't Say","This American Life","yes","","","","People who say the “wrong” thing and suffer the consequences.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/637.mp3"
"636: I Thought It Would Be Easier","https://www.thisamericanlife.org/636/i-thought-it-would-be-easier","","2018-01-12T14:23:53-05:00","2018-01-19T00:00:00-00:00","","Full","636","I Thought It Would Be Easier","This American Life","yes","","","","A year into Trump’s presidency, stories of politicians—of both parties—unable to accomplish tasks that seem pretty straightforward.","",""
"635: Chip in My Brain","https://www.thisamericanlife.org/635/chip-in-my-brain","","2018-01-05T18:19:45-05:00","2018-01-12T00:00:00-00:00","","Full","635","Chip in My Brain","This American Life","yes","","","","A boy who can’t dribble gets a coach, a new best friend, and something to believe in.","",""
"634: Human Error in Volatile Situations","https://www.thisamericanlife.org/634/human-error-in-volatile-situations","","2017-12-22T16:15:08-05:00","2017-12-22T00:00:00-00:00","","Full","634","Human Error in Volatile Situations","This American Life","yes","","","","People bungle simple operations on some of the most dangerous weapons in the world.","",""
"633: Our Town - Part Two","https://www.thisamericanlife.org/633/our-town-part-two","","2017-12-15T00:00:00-05:00","2017-12-15T00:00:00-00:00","","Full","633","Our Town - Part Two","This American Life","yes","","","","When an Alabama town went from 98% white to one-fourth Latino, what did it mean for taxpayers, schools, traffic, crime?","",""
"632: Our Town - Part One","https://www.thisamericanlife.org/632/our-town-part-one","","2017-12-08T00:00:00-05:00","2017-12-08T00:00:00-00:00","","Full","632","Our Town - Part One","This American Life","yes","","","","What really happened when undocumented workers showed up in one Alabama town?","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/632.mp3"
"631: So a Monkey and a Horse Walk Into a Bar","https://www.thisamericanlife.org/631/so-a-monkey-and-a-horse-walk-into-a-bar","","2017-11-10T00:00:00-05:00","2017-11-10T00:00:00-00:00","","Full","631","So a Monkey and a Horse Walk Into a Bar","This American Life","yes","","","","Blurring the line between animal and human.","",""
"630: Things I Mean to Know","https://www.thisamericanlife.org/630/things-i-mean-to-know","","2017-10-27T00:00:00-04:00","2017-10-27T00:00:00-00:00","","Full","630","Things I Mean to Know","This American Life","yes","","","","Stories of people trying to unspool some of life’s certainties.","",""
"629: Expect Delays","https://www.thisamericanlife.org/629/expect-delays","","2017-10-20T00:00:00-04:00","2017-10-20T00:00:00-00:00","","Full","629","Expect Delays","This American Life","yes","","","","Stories about delays, including a town in Ohio known almost entirely for its speed trap.","",""
"628: In the Shadow of the City","https://www.thisamericanlife.org/628/in-the-shadow-of-the-city","","2017-10-13T00:00:00-04:00","2017-10-13T00:00:00-00:00","","Full","628","In the Shadow of the City","This American Life","yes","","","","Stories that take place on the edge of civilization, just out of sight.","",""
"627: Suitable for Children (2017)","https://www.thisamericanlife.org/627/suitable-for-children-2017","","2017-10-06T00:00:00-04:00","2017-10-06T00:00:00-00:00","","Full","627","Suitable for Children (2017)","This American Life","yes","","","","Neil Drumming looks back at a toy he loved that, in retrospect, probably wouldn’t love him back.","",""
"626: White Haze","https://www.thisamericanlife.org/626/white-haze","","2017-09-22T00:00:00-04:00","2017-09-22T00:00:00-00:00","","Full","626","White Haze","This American Life","yes","","","","What should we make of right-wing groups like the Proud Boys, who believe “the West is the best”?","",""
"625: Essay B","https://www.thisamericanlife.org/625/essay-b","","2017-09-08T00:00:00-04:00","2017-09-08T00:00:00-00:00","","Full","625","Essay B","This American Life","yes","","","","In 1967, the first Black students integrated the South’s elite prep schools. One of the main reasons they were there? To benefit the white kids.","",""
"624: Private Geography","https://www.thisamericanlife.org/624/private-geography","","2017-09-01T00:00:00-04:00","2017-09-01T00:00:00-00:00","","Full","624","Private Geography","This American Life","yes","","","","What Betsy DeVos's experience in a public school in her hometown can tell us about her vision for education in this country.","",""
"623: We Are in the Future (2017)","https://www.thisamericanlife.org/623/we-are-in-the-future-2017","","2017-08-18T00:00:00-04:00","2017-08-18T00:00:00-00:00","","Full","623","We Are in the Future (2017)","This American Life","yes","","","","Afrofuturism is a way of looking at black culture that’s fantastic, creative, and oddly hopeful.","",""
"622: Who You Gonna Call?","https://www.thisamericanlife.org/622/who-you-gonna-call","","2017-08-04T00:00:00-04:00","2017-08-04T00:00:00-00:00","","Full","622","Who You Gonna Call?","This American Life","yes","","","","Stories of lucky people who have found the exact right person to ring up for help.","",""
"621: Fear and Loathing in Homer and Rockville","https://www.thisamericanlife.org/621/fear-and-loathing-in-homer-and-rockville","","2017-07-21T00:00:00-04:00","2017-07-21T00:00:00-00:00","","Full","621","Fear and Loathing in Homer and Rockville","This American Life","yes","","","","Two towns grapple with the question—who do we let in?","",""
"620: To Be Real","https://www.thisamericanlife.org/620/to-be-real","","2017-07-14T00:00:00-04:00","2017-07-14T00:00:00-00:00","","Full","620","To Be Real","This American Life","yes","","","","People try to go deeper—to get to something real—in some unexpected places: war, magic, and porn.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/620.mp3"
"619: The Magic Show","https://www.thisamericanlife.org/619/the-magic-show","","2017-06-30T00:00:00-04:00","2017-06-30T00:00:00-00:00","","Full","619","The Magic Show","This American Life","yes","","","","Former kid magicians Ira Glass and David Kestenbaum dive back into the world of magic.","",""
"618: Mr. Lie Detector","https://www.thisamericanlife.org/618/mr-lie-detector","","2017-06-09T00:00:00-04:00","2017-06-09T00:00:00-00:00","","Full","618","Mr. Lie Detector","This American Life","yes","","","","A polygraph operator and his strange journey.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/618.mp3"
"617: Fermi’s Paradox","https://www.thisamericanlife.org/617/fermis-paradox","","2017-05-19T00:00:00-04:00","2017-05-19T00:00:00-00:00","","Full","617","Fermi’s Paradox","This American Life","yes","","","","Three people grapple with the question, “Are we alone?”","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/617.mp3"
"616: I Am Not a Pirate","https://www.thisamericanlife.org/616/i-am-not-a-pirate","","2017-05-05T00:00:00-04:00","2017-05-05T00:00:00-00:00","","Full","616","I Am Not a Pirate","This American Life","yes","","","","Stories about both historical and modern-day swashbucklers who loot, pillage, and question their choices.","",""
"615: The Beginning of Now","https://www.thisamericanlife.org/615/the-beginning-of-now","","2017-04-28T00:00:00-04:00","2017-04-28T00:00:00-00:00","","Full","615","The Beginning of Now","This American Life","yes","","","","Before Trump started his presidential campaign, there was a congressional race that redefined what was possible in American politics.","",""
"614: The Other Mr. President (2017)","https://www.thisamericanlife.org/614/the-other-mr-president","","2017-04-14T00:00:00-04:00","2017-04-14T00:00:00-00:00","","Full","614","The Other Mr. President (2017)","This American Life","yes","","","","What it's actually like to live in the confusing information landscape that is Putin's Russia.","",""
"613: OK, I’ll Do It","https://www.thisamericanlife.org/613/ok-ill-do-it","","2017-03-31T00:00:00-04:00","2017-03-31T00:00:00-00:00","","Full","613","OK, I’ll Do It","This American Life","yes","","","","A surgeon takes out his own appendix in what might be one of the most daring surgeries ever performed.","",""
"612: Ask a Grown-Up","https://www.thisamericanlife.org/612/ask-a-grown-up","","2017-03-17T00:00:00-04:00","2017-03-17T00:00:00-00:00","","Full","612","Ask a Grown-Up","This American Life","yes","","","","Teenage girls ask for advice about their love lives, and Ira's tribute to his very grown-up friend Mary.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/612.mp3"
"611: Vague and Confused","https://www.thisamericanlife.org/611/vague-and-confused","","2017-03-03T00:00:00-05:00","2017-03-03T00:00:00-00:00","","Full","611","Vague and Confused","This American Life","yes","","","","A show about rules and what happens when they’re vague and randomly enforced.","",""
"610: Grand Gesture","https://www.thisamericanlife.org/610/grand-gesture","","2017-02-17T00:00:00-05:00","2017-02-17T00:00:00-00:00","","Full","610","Grand Gesture","This American Life","yes","","","","People going to very extreme measures to demonstrate their feelings.","",""
"609: It’s Working Out Very Nicely","https://www.thisamericanlife.org/609/its-working-out-very-nicely","","2017-02-03T00:00:00-05:00","2017-02-03T00:00:00-00:00","","Full","609","It’s Working Out Very Nicely","This American Life","yes","","","","We document what happened when the President’s executive order went into effect temporarily banning travel from seven countries.","",""
"608: The Revolution Starts At Noon","https://www.thisamericanlife.org/608/the-revolution-starts-at-noon","","2017-01-20T00:00:00-05:00","2017-01-20T00:00:00-00:00","","Full","608","The Revolution Starts At Noon","This American Life","yes","","","","Some people are super-stoked for the political changes that are coming.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/608.mp3"
"607: Didn’t We Solve This One?","https://www.thisamericanlife.org/607/didnt-we-solve-this-one","","2017-01-06T00:00:00-05:00","2017-01-06T00:00:00-00:00","","Full","607","Didn’t We Solve This One?","This American Life","yes","","","","Why has it been so hard for us to get the tens of thousands of Iraqis and Afghans that have helped the U.S. to safety?","",""
"606: Just What I Wanted","https://www.thisamericanlife.org/606/just-what-i-wanted","","2016-12-23T00:00:00-05:00","2016-12-23T00:00:00-00:00","","Full","606","Just What I Wanted","This American Life","yes","","","","Stories from people who want something desperately and then have their wishes fulfilled. Or do they?","",""
"605: Kid Logic","https://www.thisamericanlife.org/605/kid-logic","","2016-12-16T00:00:00-05:00","2016-12-16T00:00:00-00:00","","Full","605","Kid Logic","This American Life","yes","","","","Kids using perfectly logical arguments, and arriving at perfectly wrong conclusions.","",""
"604: 20 Years Later","https://www.thisamericanlife.org/604/20-years-later","","2016-12-09T00:00:00-05:00","2016-12-09T00:00:00-00:00","","Full","604","20 Years Later","This American Life","yes","","","","Samantha Broun interviews her mom about surviving a brutal attack 20 years ago that ended up changing Pennsylvania law regarding life sentences.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/604.mp3"
"603: Once More, With Feeling","https://www.thisamericanlife.org/603/once-more-with-feeling","","2016-12-02T00:00:00-05:00","2016-12-02T00:00:00-00:00","","Full","603","Once More, With Feeling","This American Life","yes","","","","Stories of people who decide to rethink the way they’ve been doing things.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/603.mp3"
"602: The Sun Comes Up","https://www.thisamericanlife.org/602/the-sun-comes-up","","2016-11-11T00:00:00-05:00","2016-11-11T00:00:00-00:00","","Full","602","The Sun Comes Up","This American Life","yes","","","","People around the country talking about the coming four years after Trump's election.","",""
"601: Master of Her Domain… Name","https://www.thisamericanlife.org/601/master-of-her-domain-name","","2016-11-04T00:00:00-04:00","2016-11-04T00:00:00-00:00","","Full","601","Master of Her Domain… Name","This American Life","yes","","","","A story about Hillary Clinton that offers a different picture than what we’ve been hearing from both sides during the campaign.","",""
"600: Will I Know Anyone at This Party?","https://www.thisamericanlife.org/600/will-i-know-anyone-at-this-party","","2016-10-28T00:00:00-04:00","2016-10-28T00:00:00-00:00","","Full","600","Will I Know Anyone at This Party?","This American Life","yes","","","","Right now a lot of Republicans feel like they don’t recognize their own party.","",""
"599: Seriously?","https://www.thisamericanlife.org/599/seriously","","2016-10-21T00:00:00-04:00","2016-10-21T00:00:00-00:00","","Full","599","Seriously?","This American Life","yes","","","","Watching lies become the truth in the 2016 election.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/599.mp3"
"598: My Undesirable Talent","https://www.thisamericanlife.org/598/my-undesirable-talent","","2016-10-07T00:00:00-04:00","2016-10-07T00:00:00-00:00","","Full","598","My Undesirable Talent","This American Life","yes","","","","San Francisco’s Spider-Man dropped into buildings from skylights and leapt 10 feet from one roof to another. But mostly, his talent got him into trouble.","",""
"597: One Last Thing Before I Go (2016)","https://www.thisamericanlife.org/597/one-last-thing-before-i-go-2016","","2016-09-23T00:00:00-04:00","2016-09-23T00:00:00-00:00","","Full","597","One Last Thing Before I Go (2016)","This American Life","yes","","","","Ordinary people make last ditch efforts to get through to their loved ones.","",""
"596: Becoming a Badger","https://www.thisamericanlife.org/596/becoming-a-badger","","2016-09-09T00:00:00-04:00","2016-09-09T00:00:00-00:00","","Full","596","Becoming a Badger","This American Life","yes","","","","Stories about people trying their best to turn themselves into something else—like a badger.","",""
"595: Deep End of the Pool","https://www.thisamericanlife.org/595/deep-end-of-the-pool","","2016-08-26T00:00:00-04:00","2016-08-26T00:00:00-00:00","","Full","595","Deep End of the Pool","This American Life","yes","","","","What do you do when you're thrown into a situation you’re not prepared for?","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/595.mp3"
"594: My Summer Self","https://www.thisamericanlife.org/594/my-summer-self","","2016-08-12T00:00:00-04:00","2016-08-12T00:00:00-00:00","","Full","594","My Summer Self","This American Life","yes","","","","Summer is a time when change seems more possible than ever. But is that really how it happens?","",""
"593: Don’t Have to Live Like a Refugee","https://www.thisamericanlife.org/593/dont-have-to-live-like-a-refugee","","2016-08-05T00:00:00-04:00","2016-08-05T00:00:00-00:00","","Full","593","Don’t Have to Live Like a Refugee","This American Life","yes","","","","Stories of refugees in Greece trying to move on with their lives in whatever way they can.","",""
"592: Are We There Yet?","https://www.thisamericanlife.org/592/are-we-there-yet","","2016-07-29T00:00:00-04:00","","","Full","592","Are We There Yet?","This American Life","yes","","","","57,000 refugees are stuck in Greece, making homes in some surprising locations.","",""
"591: Get Your Money's Worth","https://www.thisamericanlife.org/591/get-your-moneys-worth","","2016-07-15T00:00:00-04:00","2016-07-15T00:00:00-00:00","","Full","591","Get Your Money's Worth","This American Life","yes","","","","A political donor has to decide whether or not he's going to support Trump. Plus other stories of people trying to make sure they get what they paid for.","",""
"590: Choosing Wrong","https://www.thisamericanlife.org/590/choosing-wrong","","2016-06-24T00:00:00-04:00","2016-06-24T00:00:00-00:00","","Full","590","Choosing Wrong","This American Life","yes","","","","Stories of people making the wrong choice, even though the right one is staring them squarely in the eye.","",""
"589: Tell Me I’m Fat","https://www.thisamericanlife.org/589/tell-me-im-fat","","2016-06-17T00:00:00-04:00","2016-06-17T00:00:00-00:00","","Full","589","Tell Me I’m Fat","This American Life","yes","","","","Maybe it’s time to rethink the way we see being fat.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/589.mp3"
